wkt_geom,years,predicted,
"MultiPolygon (((757423.30750261375214905 1685327.64727723249234259, 757426.29058962513227016 1685476.68778244475834072, 757470.60415983607526869 1685434.88612312288023531, 757521.3553590482333675 1685433.23024124489165843, 757527.65198135504033417 1685388.46431588823907077, 757571.56981997669208795 1685372.89533643494360149, 757573.4583161910995841 1685308.70767925889231265, 757423.30750261375214905 1685327.64727723249234259)))",2021,1,
"MultiPolygon (((767742.80924549396149814 1676232.84479811321943998, 767827.53792446409352124 1676243.10810591001063585, 767825.30415939399972558 1676174.77388100116513669, 767751.26950688473880291 1676169.72492932016029954, 767742.80924549396149814 1676232.84479811321943998)))",2021,2,
"MultiPolygon (((772184.32375812530517578 1684618.50839829375036061, 772189.63712953077629209 1684568.30530597758479416, 772210.28492821427062154 1684502.89093910297378898, 772211.75557679333724082 1684496.59724447736516595, 772127.95961278816685081 1684491.85937442327849567, 772126.31046514655463398 1684532.02991875470615923, 772134.39627618389204144 1684576.29930943972431123, 772135.65822690853383392 1684615.7286684347782284, 772184.32375812530517578 1684618.50839829375036061)))",2021,4,
"MultiPolygon (((773249.53115314745809883 1683829.87275903904810548, 773384.34329659095965326 1683862.64753117645159364, 773400.89164439914748073 1683822.92002835823222995, 773273.48860950255766511 1683795.26956759789027274, 773262.35607982240617275 1683819.81596830277703702, 773249.53115314745809883 1683829.87275903904810548)))",2021,3,
"MultiPolygon (((772834.90160016936715692 1670561.87820002576336265, 772844.89200025354512036 1670650.40330002759583294, 772850.90380026213824749 1670750.4314000210724771, 772884.93380022910423577 1670751.45250003016553819, 772901.79300019633956254 1670745.87570002605207264, 772888.09880021132994443 1670565.84560003038495779, 772850.03890022775158286 1670561.64340002252720296, 772834.90160016936715692 1670561.87820002576336265)))",2021,1,
"MultiPolygon (((765301.53797659801784903 1682045.80433774623088539, 765358.53097724763210863 1682025.5247189577203244, 765336.50685943523421884 1681910.1374128486495465, 765289.86305090691894293 1681927.87710339855402708, 765301.53797659801784903 1682045.80433774623088539)))",2021,1,
"MultiPolygon (((764181.23251197615172714 1681442.53074502060189843, 764174.45799920463468879 1681624.12776481080800295, 764283.94452682440169156 1681620.2678973195143044, 764287.29119903699029237 1681475.83038149680942297, 764181.23251197615172714 1681442.53074502060189843)))",2021,1,
"MultiPolygon (((771619.80790017498657107 1686071.12870002840645611, 771552.26210022391751409 1686049.49300003051757813, 771514.07610020460560918 1686055.91850002901628613, 771539.53360021521802992 1686269.02660002512857318, 771578.13900024304166436 1686239.5159000325948, 771619.80790017498657107 1686071.12870002840645611)))",2021,2,
"MultiPolygon (((771708.08962893509306014 1679940.81178789539262652, 771794.27104132971726358 1679917.34072494553402066, 771831.15516796475276351 1679907.6924244905821979, 771855.31372313853353262 1679901.32907757395878434, 771848.54033403843641281 1679808.36102307680994272, 771778.8443519975990057 1679819.51189484819769859, 771689.74329585628584027 1679835.08856898173689842, 771708.08962893509306014 1679940.81178789539262652)))",2021,3,
"MultiPolygon (((770101.69250970683060586 1681504.60455232067033648, 770287.73305474407970905 1681491.57854930846951902, 770295.35454860760364681 1681417.93101504328660667, 770144.07313086919020861 1681437.44634235464036465, 770092.54783155326731503 1681439.73190751019865274, 770101.69250970683060586 1681504.60455232067033648)))",2021,3,
"MultiPolygon (((767077.14623339974787086 1680655.71172165405005217, 767075.48113385098986328 1680641.41105721588246524, 767073.23649281123653054 1680621.34682741807773709, 766975.81302563473582268 1680622.67464773869141936, 766975.05905442463699728 1680641.708363524870947, 767001.15204005409032106 1680654.07253411551937461, 767077.14623339974787086 1680655.71172165405005217)))",2021,1,
"MultiPolygon (((769273.16087303590029478 1676006.50694684451445937, 769252.60109113622456789 1676008.26469977153465152, 769269.553870101692155 1676086.84285942302085459, 769289.00291247724089772 1676088.1723768871743232, 769281.42586482339538634 1676064.28257927624508739, 769273.16087303590029478 1676006.50694684451445937)))",2021,1,
"MultiPolygon (((762276.44591214274987578 1681891.12081372854299843, 762225.44619551883079112 1681923.76301413751207292, 762511.91718951030634344 1682416.40495470818132162, 762562.41122387966606766 1682380.87940974067896605, 762413.90922265080735087 1682163.44850299297831953, 762276.44591214274987578 1681891.12081372854299843)))",2021,1,
"MultiPolygon (((774080.1117110475897789 1684096.21598142222501338, 774136.97600096790120006 1684115.79359689354896545, 774157.43255758634768426 1684043.24864157964475453, 774100.46755003253929317 1684032.26635219575837255, 774080.1117110475897789 1684096.21598142222501338)))",2021,2,
"MultiPolygon (((764472.55923874699510634 1672909.95044542686082423, 764791.87726743123494089 1672976.30342641286551952, 764807.00645384844392538 1672950.67812917241826653, 764821.50606172042898834 1672933.23820317978970706, 764494.69725414947606623 1672863.47969240159727633, 764472.55923874699510634 1672909.95044542686082423)))",2021,1,
